id_centro_vacunacion,id_ubigeo,nombre,latitud,longitud,entidad_administra
285,697,Colegio De Señoritas Educandas,-13.516718,-71.982168,
286,697,Unsaac Escuela Profesional De Medicina Humana,-13.52264,-71.957258,
3016,697,CIENCIAS,-13.519001436,-71.98190962,
3100,697,COLEGIO GARCILASO,-13.520532593,-71.966450065,
3103,697,EDUCANDAS,-13.51670681,-71.982468217,
3420,697,COLEGIO GARCILASO,-13.520830366,-71.966595538,
290,704,Parque Quillabamba,-13.529735,-71.961957,
291,704,Parque Velasco Astete,-13.536838,-71.947781,
292,704,Uac Centro De Idiomas / Escuela De Medicina Humana,-13.521958,-71.964836,
3021,704,PARQUE QUILLABAMBA,-13.529684208,-71.961771842,
3069,704,COLISEO CERRADO CASA DE LA JUVENTUD,-13.5260213,-71.9577225,
3121,704,TTIO,-13.534439976,-71.960103917,
289,702,"Centro Cultural Koripata, El Bosque",-13.527208,-71.977375,
288,701,Instituto Superior Tecnologico Tupac Amaru,-13.533377,-71.927303,DIRESA
287,700,C.D. Cajonahuaylla,-13.549036,-71.877903,DIRESA
3207,700,ACCAMANA,-13.5474467,-71.8984605,
3020,702,QORIPATA,-13.527099285,-71.977360621,
